bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
1,59,0.8341905318527179,8,0.8,16,0.8
2,59,0.8696668614845122,7,0.7,16,0.8
3,59,0.8734658094681473,5,0.5,17,0.85
4,59,0.8611922852133257,8,0.8,17,0.85
5,59,0.8844535359438925,7,0.7,19,0.95
6,59,0.932729398012858,8,0.8,18,0.9
7,59,0.8617182933956752,7,0.7,16,0.8
8,59,0.9153126826417302,7,0.7,15,0.75
9,59,0.862302746931619,8,0.8,16,0.8
10,59,0.9081823495032145,8,0.8,17,0.85
11,59,0.8727060198714204,8,0.8,17,0.85
12,59,0.8823495032144946,6,0.6,14,0.7
13,59,0.9052016364699008,8,0.8,16,0.8
14,59,0.886031560490941,8,0.8,15,0.75
15,59,0.9249561659848042,7,0.7,18,0.9
16,59,0.9112215078901229,8,0.8,17,0.85
17,59,0.8423728813559324,6,0.6,16,0.8
18,59,0.9330216247808301,9,0.9,16,0.8
19,59,0.9225599064874344,8,0.8,17,0.85
20,59,0.8027469316189364,8,0.8,15,0.75
21,59,0.9206312098188196,6,0.6,18,0.9
22,59,0.7848626534190534,7,0.7,16,0.8
23,59,0.8412039742840446,7,0.7,16,0.8
24,59,0.882407948568089,8,0.8,18,0.9
25,59,0.8926358854471073,4,0.4,17,0.85
26,59,0.9151957919345414,5,0.5,19,0.95
27,59,0.8914085330216249,7,0.7,16,0.8
28,59,0.8814728229105788,7,0.7,16,0.8
29,59,0.9065458796025717,5,0.5,19,0.95
30,59,0.8585622443015781,7,0.7,16,0.8
31,59,0.8911163062536529,8,0.8,17,0.85
32,59,0.8541203974284045,8,0.8,17,0.85
33,59,0.9057860900058446,7,0.7,18,0.9
34,59,0.8828170660432497,7,0.7,15,0.75
35,59,0.9132086499123321,8,0.8,17,0.85
36,59,0.9164231443600236,9,0.9,16,0.8
37,59,0.921449444769141,7,0.7,16,0.8
38,59,0.8992986557568675,7,0.7,17,0.85
39,59,0.9258328462887201,5,0.5,18,0.9
40,59,0.8715371127995327,7,0.7,17,0.85
41,59,0.9148451198129749,5,0.5,18,0.9
42,59,0.8611338398597314,6,0.6,17,0.85
43,59,0.9323787258912919,7,0.7,16,0.8
44,59,0.9041496201052017,8,0.8,16,0.8
45,59,0.9281706604324957,7,0.7,17,0.85
46,59,0.9341905318527179,7,0.7,17,0.85
47,59,0.9330216247808301,7,0.7,18,0.9
48,59,0.8540619520748102,7,0.7,16,0.8
49,59,0.8976621858562246,7,0.7,17,0.85
50,59,0.9177673874926945,8,0.8,18,0.9
51,59,0.8924021040327295,8,0.8,17,0.85
52,59,0.9378141437755699,7,0.7,16,0.8
53,59,0.8670368205727647,8,0.8,17,0.85
54,59,0.8642314436002339,6,0.6,16,0.8
55,59,0.8829924021040328,6,0.6,18,0.9
56,59,0.8502045587375804,8,0.8,15,0.75
57,59,0.8537112799532438,4,0.4,14,0.7
58,59,0.897428404441847,8,0.8,14,0.7
59,59,0.9099357101110462,7,0.7,18,0.9
60,59,0.8156049094097021,6,0.6,17,0.85
61,59,0.8530099357101112,6,0.6,16,0.8
62,59,0.8770309760374052,8,0.8,16,0.8
63,59,0.9095265926358856,6,0.6,17,0.85
64,59,0.9021624780829924,8,0.8,16,0.8
65,59,0.8184687317358271,7,0.7,16,0.8
66,59,0.8736411455289306,6,0.6,17,0.85
67,59,0.8802454704850965,8,0.8,17,0.85
68,59,0.931502045587376,7,0.7,19,0.95
69,59,0.925073056691993,7,0.7,17,0.85
70,59,0.8955581531268265,8,0.8,15,0.75
71,59,0.8666277030976038,7,0.7,16,0.8
72,59,0.9052016364699008,7,0.7,16,0.8
73,59,0.8565166569257744,6,0.6,18,0.9
74,59,0.9151957919345414,7,0.7,15,0.75
75,59,0.8808883693746348,6,0.6,16,0.8
76,59,0.9345996493278785,9,0.9,17,0.85
77,59,0.9110461718293398,7,0.7,16,0.8
78,59,0.866510812390415,7,0.7,14,0.7
79,59,0.8829924021040328,8,0.8,16,0.8
80,59,0.9113383985973117,6,0.6,17,0.85
81,59,0.9068965517241382,7,0.7,17,0.85
82,59,0.9219170075978961,8,0.8,18,0.9
83,59,0.829398012857978,6,0.6,13,0.65
84,59,0.9237872589129166,8,0.8,14,0.7
85,59,0.8790181180596145,7,0.7,16,0.8
86,59,0.8874926943308009,6,0.6,18,0.9
87,59,0.8839859731151375,7,0.7,17,0.85
88,59,0.8298071303331387,5,0.5,16,0.8
89,59,0.8880187025131503,7,0.7,16,0.8
90,59,0.8924021040327295,8,0.8,16,0.8
91,59,0.9120981881940388,7,0.7,16,0.8
92,59,0.9151957919345414,6,0.6,18,0.9
93,59,0.882115721800117,7,0.7,16,0.8
94,59,0.9016364699006431,7,0.7,17,0.85
95,59,0.915897136177674,7,0.7,17,0.85
96,59,0.8922852133255407,10,1.0,16,0.8
97,59,0.893687901811806,8,0.8,18,0.9
98,59,0.9281122150789014,7,0.7,18,0.9
99,59,0.9115721800116892,7,0.7,18,0.9
100,59,0.9001168907071889,9,0.9,18,0.9
101,59,0.8971946230274694,8,0.8,16,0.8
102,59,0.8932787843366454,6,0.6,16,0.8
103,59,0.927001753360608,7,0.7,17,0.85
104,59,0.9236703682057278,7,0.7,17,0.85
105,59,0.8745178258328464,6,0.6,16,0.8
106,59,0.8876095850379897,6,0.6,16,0.8
107,59,0.9135593220338984,6,0.6,17,0.85
108,59,0.9192285213325542,8,0.8,17,0.85
109,59,0.9063120981881941,8,0.8,16,0.8
110,59,0.8921683226183519,7,0.7,16,0.8
111,59,0.9006428988895384,7,0.7,15,0.75
112,59,0.8404441846873174,6,0.6,17,0.85
113,59,0.8679719462302748,6,0.6,18,0.9
114,59,0.8796610169491527,7,0.7,16,0.8
115,59,0.8683810637054354,8,0.8,14,0.7
116,59,0.8770894213909995,6,0.6,14,0.7
117,59,0.9177673874926945,9,0.9,17,0.85
118,59,0.8582700175336061,6,0.6,14,0.7
119,59,0.8766218585622445,7,0.7,16,0.8
120,59,0.8819403857393338,7,0.7,16,0.8
121,59,0.9138515488018705,7,0.7,17,0.85
122,59,0.8279368790181182,6,0.6,16,0.8
123,59,0.872939801285798,7,0.7,13,0.65
124,59,0.9375219170075981,8,0.8,18,0.9
125,59,0.9018118059614262,8,0.8,19,0.95
126,59,0.873699590882525,7,0.7,15,0.75
127,59,0.8834599649327879,7,0.7,17,0.85
128,59,0.8684979544126242,8,0.8,18,0.9
129,59,0.869199298655757,8,0.8,17,0.85
130,59,0.9148451198129749,8,0.8,15,0.75
131,59,0.9151957919345414,7,0.7,17,0.85
132,59,0.901344243132671,9,0.9,15,0.75
133,59,0.8992402104032732,8,0.8,15,0.75
134,59,0.9150204558737581,7,0.7,16,0.8
135,59,0.839158386908241,6,0.6,17,0.85
136,59,0.9315604909409705,7,0.7,18,0.9
137,59,0.9253068381063707,8,0.8,16,0.8
138,59,0.8793687901811806,6,0.6,17,0.85
139,59,0.8908825248392755,6,0.6,14,0.7
140,59,0.9199298655756868,8,0.8,19,0.95
141,59,0.9102279368790183,6,0.6,16,0.8
142,59,0.9065458796025717,7,0.7,17,0.85
143,59,0.8123319696084162,6,0.6,16,0.8
144,59,0.8908240794856811,8,0.8,17,0.85
145,59,0.8901227352425484,6,0.6,16,0.8
146,59,0.9310929281122152,9,0.9,17,0.85
147,59,0.8949736995908827,9,0.9,18,0.9
