score_state,original,bootstrap_mean,bootstrap_median,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,valid_replicates
0-0,0.663717684065664,0.6636887428883343,0.6637137549139083,-2.894117732965551e-05,0.002422741579950273,0.6589443014619214,0.6684341970224852,5000
0-15,0.48812505798311534,0.48807384501617246,0.48806199615477486,-5.12129669428818e-05,0.0035401586693342172,0.4811653404831719,0.4949841916507352,5000
0-30,0.2845545598313126,0.28444226739622186,0.28440222765074696,-0.00011229243509075504,0.004593223158096683,0.2755696987004901,0.29370563607759254,5000
0-40,0.10101744186046512,0.10096023208253183,0.10086980704111498,-5.720977793328974e-05,0.004673224003542014,0.09200151165453917,0.11040889220920913,5000
15-0,0.7975203733370482,0.7974994258457409,0.7975027904399987,-2.0947491307321542e-05,0.002556045875151667,0.7924559526657673,0.8024521392434892,5000
15-15,0.6475355607012901,0.6474828735229107,0.6475237332996073,-5.2687178379473565e-05,0.0032117243166827633,0.6413014408026807,0.6538243749838437,5000
15-30,0.4298651252408478,0.42981832575518875,0.42976187146031275,-4.6799485659054785e-05,0.0041413413231703,0.421831347425085,0.4380436976421522,5000
15-40,0.1923419412288513,0.1923080028508671,0.19233378561736772,-3.3938377984182866e-05,0.0041817253242341776,0.18415178571428573,0.20046405230651057,5000
30-0,0.907354978615746,0.9073729436076515,0.9073990129559617,1.796499190553913e-05,0.0023105538565388224,0.9027909652482254,0.9118230006675463,5000
30-15,0.8069165659008465,0.8068839431923375,0.8069418674562431,-3.262270850901139e-05,0.002894436033515434,0.8012429743273447,0.8123898689057908,5000
30-30,0.6261207241162697,0.6260858984736483,0.6260664865916676,-3.482564262147214e-05,0.0037818761008159294,0.6186436109527935,0.6334287780384631,5000
30-40,0.3456780269774124,0.3456685409392864,0.3457272624994622,-9.486038126005347e-06,0.00413601788958268,0.3374568814291965,0.35384375653114664,5000
40-0,0.9730112200545841,0.9730038706296659,0.9730249508376578,-7.349424918201564e-06,0.001629226656319599,0.9697398119251749,0.9761334612360337,5000
40-15,0.9348875619362216,0.9348471121460418,0.934863938758621,-4.044979017980843e-05,0.0020264843359151102,0.9309091980974525,0.9387189227462028,5000
40-30,0.8381946576604237,0.8381550413602287,0.8381379503752995,-3.9616300195000065e-05,0.003049168558915365,0.8321170724967463,0.8440605238779142,5000
40-40,0.6235386104698786,0.6235072952776538,0.6235822800836226,-3.131519222476786e-05,0.00511034521200448,0.6133962962479098,0.6333756142168454,5000
AD-40,0.8361933455593398,0.836182540293608,0.8361796150711198,-1.0805265731828051e-05,0.004198148656530317,0.8278512235300513,0.8444238579061487,5000
40-AD,0.3433428250927604,0.3433572092784996,0.34347637702862077,1.4384185739235722e-05,0.006050698809878954,0.3314619623349612,0.35504785759108043,5000
