Pts,count,sum,game_win_expectancy
0-0,50865,33760.0,0.663717684065664
0-15,21558,10523.0,0.48812505798311534
0-30,9485,2699.0,0.2845545598313126
0-40,4128,417.0,0.10101744186046512
15-0,28714,22900.0,0.7975203733370482
15-15,24184,15660.0,0.6475355607012901
15-30,15570,6693.0,0.4298651252408478
15-40,8984,1728.0,0.1923419412288513
30-0,16601,15063.0,0.907354978615746
30-15,20675,16683.0,0.8069165659008465
30-30,17511,10964.0,0.6261207241162697
30-40,12529,4331.0,0.3456780269774124
40-0,9893,9626.0,0.9730112200545841
40-15,15742,14717.0,0.9348875619362216
40-30,16285,13650.0,0.8381946576604237
40-40,26858,16747.0,0.6235386104698786
AD-40,15268,12767.0,0.8361933455593398
40-AD,11589,3979.0,0.3433428250927604
