score_state,total_server_points,ace_count,unclassified_points,ace_percentage
0-0,50865,2023,292,3.98
0-15,21558,726,87,3.37
0-30,9485,361,34,3.81
0-40,4128,133,20,3.22
15-0,28714,1327,128,4.62
15-15,24185,1192,93,4.93
15-30,15570,550,58,3.53
15-40,8984,399,30,4.44
30-0,16601,1153,81,6.95
30-15,20675,897,67,4.34
30-30,17511,899,72,5.13
30-40,12529,454,43,3.62
40-0,9893,804,46,8.13
40-15,15742,1132,42,7.19
40-30,16285,745,67,4.57
40-40,26858,1222,90,4.55
AD-40,15268,643,59,4.21
40-AD,11589,400,43,3.45
