player,wta_rank,original_matches,eligible
Aryna Sabalenka,1,46,True
Elena Rybakina,2,127,True
Iga Swiatek,3,218,True
Coco Gauff,4,104,True
Jessica Pegula,5,78,True
Amanda Anisimova,6,63,True
Elina Svitolina,7,79,True
Mirra Andreeva,8,113,True
Victoria Mboko,9,24,True
Karolina Muchova,10,60,True
Belinda Bencic,11,42,True
Linda Noskova,12,47,True
Jasmine Paolini,13,49,True
Ekaterina Alexandrova,14,47,True
Marta Kostyuk,15,57,True
Naomi Osaka,16,41,True
Iva Jovic,17,44,True
Sorana Cirstea,18,27,True
Madison Keys,19,32,True
Clara Tauson,20,41,True
Elise Mertens,21,33,True
Leylah Fernandez,22,44,True
Diana Shnaider,23,27,True
Anna Kalinskaya,24,36,True
Emma Navarro,25,29,True
Hailey Baptiste,26,7,False
Liudmila Samsonova,27,41,True
Marie Bouzkova,28,35,True
Ann Li,29,4,False
Anastasia Potapova,30,29,True
Jelena Ostapenko,31,31,True
Jaqueline Cristian,32,18,True
Cristina Bucsa,33,12,False
Xin Yu Wang,34,18,True
Sara Bejlek,35,8,False
Katerina Siniakova,36,21,True
Alexandra Eala,37,20,True
Elisabetta Cocciaretto,38,9,False
Emma Raducanu,39,66,True
Janice Tjen,40,9,False
Barbora Krejcikova,41,27,True
Tereza Valentova,42,13,False
Lois Boisson,43,4,False
Marketa Vondrousova,44,32,True
Dayana Yastremska,45,16,True
Magdalena Frech,46,21,True
Laura Siegemund,47,12,False
Mccartney Kessler,48,10,False
Maria Sakkari,49,53,True
Jessica Bouzas Maneiro,50,8,False
Petra Marcinko,51,1,False
Maya Joint,52,18,True
Daria Kasatkina,53,44,True
Tatjana Maria,54,14,False
Yuliia Starodubtseva,55,3,False
Qinwen Zheng,56,48,True
Anna Bondar,57,16,True
Talia Gibson,58,16,True
Panna Udvardy,59,5,False
Anhelina Kalinina,60,18,True
Shuai Zhang,61,15,True
Sonay Kartal,62,5,False
Caty Mcnally,63,6,False
Antonia Ruzic,64,5,False
Oleksandra Oliynykova,65,1,False
Zeynep Sonmez,66,5,False
Elsa Jacquemot,67,5,False
Solana Sierra,68,15,True
Nikola Bartunkova,69,3,False
Varvara Gracheva,70,15,True
Katie Boulter,71,18,True
Donna Vekic,72,33,True
Magda Linette,73,58,True
Renata Zarazua,74,5,False
Taylor Townsend,75,8,False
Yulia Putintseva,76,19,True
Elena Gabriela Ruse,77,10,False
Peyton Stearns,78,15,True
Alycia Parks,79,22,True
Anastasia Zakharova,80,4,False
Eva Lys,81,18,True
Viktorija Golubic,82,13,False
Kimberly Birrell,83,11,False
Veronika Erjavec,84,3,False
Veronika Kudermetova,85,29,True
Camila Osorio,86,19,True
Sofia Kenin,87,51,True
Oksana Selekhmeteva,88,4,False
Kamilla Rakhimova,89,6,False
Lilli Tagger,90,3,False
Simona Waltert,91,4,False
Diane Parry,92,13,False
Daria Snigur,93,2,False
Emiliana Arango,94,3,False
Tamara Korpatsch,95,3,False
Ella Seidel,96,3,False
Lanlana Tararudee,97,4,False
Sinja Kraus,98,0,False
Hanne Vandewinkel,99,0,False
Ajla Tomljanovic,100,15,True
