bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
1,38,0.8152970784549731,8,0.8,17,0.85
2,38,0.8367436262173104,5,0.5,19,0.95
3,38,0.9026151657730606,8,0.8,19,0.95
4,38,0.8695699748331327,9,0.9,18,0.9
5,38,0.9365357260094103,8,0.8,19,0.95
6,38,0.9113688587372798,7,0.7,18,0.9
7,38,0.8078564394353869,7,0.7,18,0.9
8,38,0.9144326512747565,8,0.8,18,0.9
9,38,0.9185906554327607,8,0.8,19,0.95
10,38,0.9104934894408577,8,0.8,18,0.9
11,38,0.9076485392274865,8,0.8,16,0.8
12,38,0.8866396761133604,7,0.7,18,0.9
13,38,0.9058978006346428,7,0.7,17,0.85
14,38,0.7859722070248387,7,0.7,16,0.8
15,38,0.9509793194003721,8,0.8,19,0.95
16,38,0.9135572819783346,7,0.7,18,0.9
17,38,0.8454973191815297,7,0.7,16,0.8
18,38,0.9072108545792755,9,0.9,18,0.9
19,38,0.9139949666265456,8,0.8,18,0.9
20,38,0.8050114892220154,8,0.8,17,0.85
21,38,0.9166210745158112,7,0.7,18,0.9
22,38,0.8978006346427398,8,0.8,18,0.9
23,38,0.8612539665171244,7,0.7,18,0.9
24,38,0.8914542072436809,9,0.9,18,0.9
25,38,0.914651493598862,7,0.7,17,0.85
26,38,0.9107123317649634,6,0.6,18,0.9
27,38,0.9159645475434949,7,0.7,20,1.0
28,38,0.8750410329357698,7,0.7,20,1.0
29,38,0.9052412736623262,6,0.6,18,0.9
30,38,0.890578837947259,8,0.8,17,0.85
31,38,0.890141153299048,6,0.6,19,0.95
32,38,0.858409016303753,8,0.8,17,0.85
33,38,0.8573148046832257,7,0.7,18,0.9
34,38,0.8595032279242807,7,0.7,17,0.85
35,38,0.896049896049896,7,0.7,18,0.9
36,38,0.8907976802713643,7,0.7,17,0.85
37,38,0.8907976802713643,7,0.7,17,0.85
38,38,0.8726337673706095,8,0.8,17,0.85
39,38,0.8956122114016851,6,0.6,20,1.0
40,38,0.8080752817594923,7,0.7,15,0.75
41,38,0.8925484188642083,7,0.7,19,0.95
42,38,0.8997702155596893,7,0.7,18,0.9
43,38,0.8925484188642083,7,0.7,18,0.9
44,38,0.8912353649195754,7,0.7,18,0.9
45,38,0.8916730495677864,8,0.8,18,0.9
46,38,0.9096181201444359,7,0.7,18,0.9
47,38,0.9122442280337016,7,0.7,18,0.9
48,38,0.877885983149141,7,0.7,19,0.95
49,38,0.9028340080971659,8,0.8,17,0.85
50,38,0.9172776014881278,7,0.7,17,0.85
51,38,0.8761352445562971,8,0.8,17,0.85
52,38,0.8967064230222126,7,0.7,18,0.9
53,38,0.866506182295656,8,0.8,17,0.85
54,38,0.8253638253638254,7,0.7,16,0.8
55,38,0.872414925046504,8,0.8,16,0.8
56,38,0.8247072983915088,7,0.7,18,0.9
57,38,0.79800853485064,5,0.5,16,0.8
58,38,0.8697888171572382,8,0.8,18,0.9
59,38,0.8721960827223986,7,0.7,18,0.9
60,38,0.8255826676879308,7,0.7,17,0.85
61,38,0.8330233067075172,8,0.8,17,0.85
62,38,0.8829193566035671,9,0.9,16,0.8
63,38,0.901083269504322,7,0.7,18,0.9
64,38,0.8831381989276726,8,0.8,17,0.85
65,38,0.8214246635299266,7,0.7,16,0.8
66,38,0.9240617135353977,8,0.8,18,0.9
67,38,0.8610351241930189,7,0.7,18,0.9
68,38,0.9255936098041362,7,0.7,19,0.95
69,38,0.9067731699310646,8,0.8,18,0.9
70,38,0.8993325309114784,7,0.7,18,0.9
71,38,0.8934237881606302,7,0.7,19,0.95
72,38,0.8835758835758836,8,0.8,18,0.9
73,38,0.8406827880512091,9,0.9,18,0.9
74,38,0.8997702155596893,8,0.8,18,0.9
75,38,0.8662873399715505,7,0.7,17,0.85
76,38,0.9144326512747565,10,1.0,18,0.9
77,38,0.8809497756866177,8,0.8,18,0.9
78,38,0.841995841995842,8,0.8,18,0.9
79,38,0.8728526096947149,9,0.9,16,0.8
80,38,0.8951745267534742,8,0.8,18,0.9
81,38,0.8818251449830398,7,0.7,17,0.85
82,38,0.8999890578837948,8,0.8,17,0.85
83,38,0.8328044643834117,7,0.7,17,0.85
84,38,0.8844512528723055,8,0.8,17,0.85
85,38,0.9034905350694824,9,0.9,20,1.0
86,38,0.9170587591640224,8,0.8,18,0.9
87,38,0.8474669000984789,8,0.8,18,0.9
88,38,0.8242696137432979,7,0.7,16,0.8
89,38,0.9113688587372798,8,0.8,18,0.9
90,38,0.871539555750082,9,0.9,16,0.8
91,38,0.9244993981836086,7,0.7,19,0.95
92,38,0.8802932487143014,7,0.7,17,0.85
93,38,0.8864208337892548,7,0.7,15,0.75
94,38,0.8592843856001751,7,0.7,17,0.85
95,38,0.9144326512747565,7,0.7,19,0.95
96,38,0.8505306926359557,8,0.8,18,0.9
97,38,0.8662873399715505,8,0.8,15,0.75
98,38,0.9045847466900099,8,0.8,18,0.9
99,38,0.908305066199803,7,0.7,16,0.8
100,38,0.8982383192909508,7,0.7,18,0.9
101,38,0.9240617135353977,7,0.7,19,0.95
102,38,0.878323667797352,7,0.7,19,0.95
103,38,0.909180435496225,8,0.8,17,0.85
104,38,0.8756975599080862,8,0.8,16,0.8
105,38,0.8242696137432979,8,0.8,15,0.75
106,38,0.9056789583105371,8,0.8,18,0.9
107,38,0.9098369624685414,8,0.8,19,0.95
108,38,0.8846700951964108,8,0.8,18,0.9
109,38,0.8927672611883138,10,1.0,17,0.85
110,38,0.8713207134259766,7,0.7,17,0.85
111,38,0.8345552029762556,7,0.7,17,0.85
112,38,0.9098369624685414,7,0.7,17,0.85
113,38,0.8404639457271036,7,0.7,16,0.8
114,38,0.9063354852828537,7,0.7,18,0.9
115,38,0.8700076594813436,7,0.7,17,0.85
116,38,0.8654119706751285,7,0.7,18,0.9
117,38,0.9288762446657184,9,0.9,18,0.9
118,38,0.9017397964766386,7,0.7,17,0.85
119,38,0.9374110953058321,8,0.8,18,0.9
120,38,0.9041470620417988,7,0.7,16,0.8
121,38,0.8728526096947149,8,0.8,18,0.9
122,38,0.8695699748331327,8,0.8,17,0.85
