bootstrap_iteration,Aryna Sabalenka,Elena Rybakina,Iga Swiatek,Coco Gauff,Jessica Pegula,Amanda Anisimova,Elina Svitolina,Mirra Andreeva,Karolina Muchova,Belinda Bencic,Linda Noskova,Jasmine Paolini,Ekaterina Alexandrova,Marta Kostyuk,Naomi Osaka,Iva Jovic,Sorana Cirstea,Madison Keys,Clara Tauson,Elise Mertens,Leylah Fernandez,Diana Shnaider,Anna Kalinskaya,Emma Navarro,Liudmila Samsonova,Marie Bouzkova,Anastasia Potapova,Jelena Ostapenko,Emma Raducanu,Barbora Krejcikova,Marketa Vondrousova,Maria Sakkari,Daria Kasatkina,Qinwen Zheng,Donna Vekic,Magda Linette,Veronika Kudermetova,Sofia Kenin
1,0.03225321987890953,0.02379842118297371,0.023062960091314623,0.01734019599604996,0.02324945280522335,0.0259145319732859,0.016319894638562715,0.015281306659493309,0.025534571822099072,0.028943040909540585,0.01998582666087576,0.020522705757964797,0.019224553848156006,0.01644372527605924,0.02006757300069243,0.021348454382052507,0.027811592502468407,0.016002835172817954,0.015838573597345147,0.011841569622061385,0.02449564315347043,0.017253493323723553,0.020086932862799837,0.01667244978701002,0.020989446486086957,0.008459258497097251,0.017640873135232923,0.015803704595971243,0.017244887299165637,0.015581832469985953,0.014092699194060957,0.012931034890983161,0.006951038766218939,0.028434925016369843,0.017214306369363698,0.02341770038947112,0.00917865144644343,0.026166293459841995
2,0.029802644564507142,0.027847673725101055,0.024372296947278948,0.016352327721562688,0.02023542356027637,0.02781121038972685,0.015119020805196894,0.014121405649412269,0.022474527637180722,0.03486898669805049,0.018916416817068207,0.018847269951381796,0.02917270303644136,0.016891310211342072,0.022380351713257404,0.013668767556327541,0.027424316224650247,0.024766017109735375,0.019994275115600937,0.015991605897862405,0.022752225837363797,0.018820580181312573,0.02522894827876653,0.013494134162853208,0.024767106860060673,0.009724221006626795,0.017236479667255607,0.02382843924668036,0.014864081635891795,0.015461592702645419,0.016501831177896116,0.012815702048945393,0.010042669812875932,0.02608981949832375,0.017784920331298245,0.022927390955190124,0.011817268997670495,0.021532098269557595
3,0.029699584550153812,0.030274104034373278,0.023149315700439495,0.015962270611952045,0.02404724512628644,0.019200989810604956,0.014610862174996105,0.014525983220557167,0.02241199124976582,0.029807269578445237,0.020134298303978032,0.020206004818944585,0.019646212093139902,0.01218569760619283,0.01727820090719693,0.015318488100190186,0.031171871967819648,0.015626904023152054,0.022107908259729518,0.014153821630501025,0.021604318348249718,0.018432424755430145,0.026194286660401588,0.014284470988679989,0.02267213935362425,0.007462943805196251,0.01284545055358257,0.024288579315439544,0.0157237921549315,0.010451552111448085,0.018990683715396466,0.015064981892823102,0.008328963261295596,0.019640831273644226,0.014771046123561282,0.026418903850302447,0.018174180135068718,0.02357531309036694
4,0.031056455358216193,0.030525194407703318,0.024474958535811362,0.017609986630123295,0.02177781815672219,0.01898255761886312,0.01727306300914894,0.012079394576971091,0.02383051333167766,0.029830354315208946,0.02258917782985921,0.01956625415871421,0.02232962408121074,0.018359265344948618,0.01982067878836559,0.020608462519645456,0.021422582370317206,0.022685031930998845,0.022085190604777143,0.013977170862898911,0.0268682225777575,0.013722911592228675,0.021937114635550203,0.016312024162984568,0.01737482898438796,0.013087568613880378,0.01688478280517076,0.023517002059455755,0.015077755750468791,0.014390136174455715,0.017888765085934573,0.016342606426120808,0.008407704079214809,0.025143941426767537,0.017844327256995543,0.023953598645228183,0.014430841334389566,0.024550118396122218
5,0.030036850312061738,0.028467006378048863,0.023822100179248542,0.019178010386130193,0.0259944337628717,0.020817445699468397,0.01879513654658955,0.013444345724739445,0.021338934726364427,0.029929568592145996,0.019679426821895912,0.01922862297106158,0.016217671344790928,0.012170880826036606,0.01944138779400692,0.015587794645075079,0.024245286445905682,0.02108636260018209,0.019544872100075588,0.01384891344854019,0.02457677914104308,0.014315884060285722,0.026069475878889078,0.017238215296607733,0.023391122516735266,0.013163428521228444,0.008619375804308606,0.024825484766439778,0.01857363376009769,0.016628207876613694,0.01786354707431564,0.016625027969106893,0.007147191485797583,0.02463400201255187,0.017309073632209942,0.02128434440988534,0.015144761132790813,0.021750098903691274
6,0.03595005557236329,0.027608560414421314,0.02238439697829727,0.01726949324335171,0.021827839610033452,0.01830257439338455,0.017772418544789875,0.014119607304186217,0.021142734386930193,0.03306763488689466,0.019532853504877466,0.017871433361185154,0.022388873392332725,0.01637445608839039,0.01763138521131876,0.017486277435996966,0.020645143891261757,0.01612998909472875,0.019752780812066918,0.015767278134202034,0.025437794949962778,0.01649008654343458,0.025671876171614916,0.01385159605408851,0.024065934921234548,0.01193417815197583,0.012184382538735172,0.028969454392746345,0.018855580002857922,0.018336971251708776,0.01417328168828628,0.01407579258595284,0.00857829429336515,0.027715838121225984,0.01796990659901707,0.02172309782039402,0.014802108348650434,0.027599616242692998
7,0.030786226028458364,0.03053714898677821,0.025513954113394147,0.01503054565249426,0.023785545106689593,0.020691613547724915,0.02264314373704966,0.014370852418964901,0.018680280497600645,0.029173526969547618,0.024253264617859194,0.025936282280355064,0.01880034732911432,0.01187028548977462,0.011398381004872567,0.01032484300901079,0.025541581610239915,0.009690518332476713,0.01893260922738252,0.013879608913375311,0.02289848591737405,0.011709008280881417,0.023644545066917235,0.01946366409279339,0.021182430567371693,0.012089917430626682,0.014028106040424041,0.022571989091469465,0.01602211553512527,0.012395473624136651,0.015069655216677427,0.0161125217764993,0.005630447875380564,0.017735315022109257,0.014466239198979885,0.025264200447899142,0.017394704565220968,0.025209504887581367
8,0.03278226193978585,0.030449055658166854,0.024162675532562274,0.018680597319372765,0.02064210768499072,0.01779393139032443,0.01774327100255875,0.01571354367807612,0.02003558133108397,0.03145730099485739,0.02857889001796534,0.02306472356064191,0.021829689707211903,0.011072964135762772,0.01927378433516618,0.01438354996929547,0.02749274699599095,0.01912596493921367,0.017919210461432935,0.015177307349618098,0.026022709026612356,0.013074748448119239,0.024968416692174807,0.01796495906445708,0.026911002327952273,0.010931900856398937,0.012172290835064919,0.027401924466677753,0.021833134295800933,0.009993200408724172,0.011948590416658978,0.014799313152552918,0.004939346227541049,0.025733007903245127,0.018885441289447306,0.022687391782770253,0.014670665351301718,0.02576141565840202
9,0.03009991781029428,0.03104233141072529,0.025203452822473195,0.01575101154639145,0.02196236665079766,0.020346441436737916,0.018433829933214806,0.012037990415452903,0.022812271991363493,0.03406190244350308,0.024684423136699753,0.02377483169718098,0.019444418329120975,0.01307812554211426,0.020368826337918925,0.015152023371287187,0.023195471546851372,0.02104315585281777,0.027132843142684025,0.01314952363681219,0.02596362487012374,0.018272295827178403,0.02311257336184104,0.017856233592803406,0.019959307653358904,0.013411491976098904,0.015164779863390416,0.02447990449877446,0.016672241587225033,0.013302684598374363,0.010944739284485958,0.008192346029703012,0.00676415440229845,0.027849144863664608,0.019701081765976475,0.022703675059685183,0.009289684342880225,0.026685541913446777
10,0.03671200573403627,0.029299233521869774,0.02498239497931094,0.018357888580696854,0.02353149952171391,0.02186106901586181,0.018222324608541812,0.012551024476049564,0.019740833571666765,0.02716578618457058,0.017978741241578933,0.019003074277620473,0.0193404227414199,0.016253863516860843,0.021959337322700355,0.013782910243766948,0.02905489064287808,0.019412876472623845,0.01879197067049255,0.0143085656902974,0.021702300293338944,0.01641772259610437,0.01992958555646304,0.014902698984002913,0.01838971343812187,0.01167632148075767,0.012104686550389715,0.023009855512534826,0.01874955422278785,0.012680313039347944,0.011153233042204098,0.011400324955245308,0.008011930104633967,0.021866171664907914,0.018725013421166375,0.02210915168282224,0.005288495206585393,0.024235825244961054
