bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
1,0.6676184702039858,0.4933191548384114,0.2889447236180904,0.10488332932403176,0.8004641174840676,0.6550140658613272,0.43578011213507767,0.19904049983264532,0.9053353204172876,0.809035596224788,0.6287216412366421,0.35008776128929314,0.9741708542713567,0.9373007438894793,0.8405672539750753,0.6293690592021556,0.841713834408319,0.3492710864283235
2,0.66601968395875,0.4876791904806521,0.2838241570635937,0.10660771309260623,0.7998415268543081,0.6488811680522811,0.43372018052869116,0.19619540747411077,0.9081778200404137,0.8044124700239809,0.6225515244421734,0.34471777724703445,0.9751434034416826,0.9378545317030127,0.8394696268886833,0.6199561734925193,0.8322687957418496,0.34091107807991605
3,0.6649423936045145,0.4892309114438898,0.287645394530022,0.1012472487160675,0.7985549032549415,0.6498224754355545,0.4335548172757475,0.19527896995708155,0.9058371366802787,0.806800692574067,0.6230924596050269,0.3433854455995556,0.9706477732793523,0.9345279554232888,0.8366962440743893,0.6258777062609713,0.8362911522633745,0.34831651259435165
4,0.6592645512095414,0.48540400055692207,0.2671869988239068,0.09295426452410384,0.7933901843529952,0.6498694625170942,0.4186647708912299,0.1826771653543307,0.9005636564146551,0.8058153126826417,0.617570910764628,0.33720087019579403,0.9718064383842526,0.9333716255025847,0.8348658051689861,0.6148089651022864,0.8317221148076538,0.3341671698438713
5,0.6646052119797744,0.4881198584493773,0.28140912397381274,0.10515122873345936,0.7994826694257631,0.6516494337764648,0.4253841702565421,0.1907463989524225,0.9077455543620957,0.8131423677198325,0.6290497685846523,0.34649996018157203,0.9700351935646053,0.9362705553831834,0.8401926711785866,0.6291688330981208,0.8380561526936356,0.3520822533264213
6,0.6644902746554588,0.48645650365165943,0.2828442200483854,0.10043041606886657,0.8000069153902009,0.6469669570935394,0.43098682095789137,0.1967625505851471,0.9110871776461438,0.8071845403233522,0.6252852578731173,0.34874911214584486,0.9747704107377132,0.938051424250063,0.8404190149473169,0.6251533514257036,0.8384379285574348,0.343202416918429
7,0.6636463052648024,0.4887614466746832,0.28305499414955854,0.10401948842874544,0.7951238016414925,0.6451310479761954,0.4259164644271299,0.18471477061206612,0.9071788111217641,0.8056564112363844,0.6285455471890392,0.340006380602967,0.9738990224730424,0.9346314325452016,0.8402277269698989,0.6241680224818814,0.8378483980203177,0.3433167893205545
8,0.6623517572074117,0.48905484247374564,0.2838552687261955,0.0945285784074255,0.7930722051853917,0.6466929297117976,0.4320422762131855,0.19021739130434784,0.9035882566147154,0.8029671288664793,0.6231949971574758,0.3412379421221865,0.9697399048679284,0.9325110244775356,0.8372407851824503,0.6185559268576578,0.8312594640858516,0.33624606780845856
9,0.6668163360924566,0.48893425509209854,0.2881499523456529,0.10829268292682927,0.8005985140341222,0.6493693842222406,0.43064805327868855,0.19340878828229027,0.9066138660677345,0.8086906364160739,0.6276286544708497,0.3470513025411539,0.9721727074668252,0.9329329329329329,0.837317678387702,0.6219337280717885,0.8387707164295968,0.3416793120890238
10,0.6643553884122694,0.4894565722248026,0.2873428510547624,0.1110841620179481,0.7970171978269144,0.6466808545469428,0.4295121795281632,0.19747340425531915,0.907623750451644,0.8084168144562144,0.6282402649309125,0.3447888228681548,0.9723328228688106,0.9320010055304173,0.8368135184067592,0.6118149730633475,0.8308624892930092,0.32859090134605556
