player,BLR,serve_LR,return_LR,points,matches,serve_points,return_points,serve_points_won,serve_points_lost,return_points_won,return_points_lost,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,blr_rank
Eva Lys,1.07348551426704,0.7497529583710986,1.3972180701629817,2324.0,18.0,1199.0,1125.0,610.0,589.0,485.0,640.0,0.15880436928342173,0.211808926540867,0.20630748139624375,0.147655892664041,77,1
Anna Kalinskaya,1.070985427434485,0.7797023278172325,1.3622685270517374,4955.0,37.0,2556.0,2399.0,1467.0,1089.0,1022.0,1377.0,0.15700816320451916,0.20136936572199504,0.20151830517403704,0.1479284745792146,20,2
Diane Parry,1.0693832671097259,0.7462937605567773,1.3924727736626745,1837.0,13.0,935.0,902.0,550.0,385.0,351.0,551.0,0.15042912412539144,0.20156824574436052,0.20092135266169048,0.14429104572953289,57,3
Kimberly Birrell,1.0684762004540784,0.7562518015318145,1.3807005993763424,1190.0,13.0,623.0,567.0,311.0,312.0,194.0,373.0,0.1581515230034816,0.20912548265424313,0.19627431826344113,0.1421555972034035,70,4
Solana Sierra,1.0657964117499503,0.7483284271576361,1.3832643963422646,1761.0,15.0,896.0,865.0,477.0,419.0,357.0,508.0,0.15834491442203405,0.21159815486827488,0.20094913545504192,0.1452716747329052,55,5
Victoria Mboko,1.063897096556829,0.7592337383737223,1.368560454739936,3277.0,24.0,1647.0,1630.0,955.0,692.0,714.0,916.0,0.15232260800443886,0.20062676394059317,0.20267483131400074,0.14809344418220424,9,6
Marketa Vondrousova,1.0620874494650014,0.7618397690137525,1.3623351299162503,4281.0,43.0,2131.0,2150.0,1221.0,910.0,974.0,1176.0,0.15123001316472748,0.19850632549742558,0.2070477004622645,0.15198000544476364,47,7
Ashlyn Krueger,1.0595391879917504,0.7388790420239473,1.3801993339595535,3044.0,23.0,1519.0,1525.0,882.0,637.0,637.0,888.0,0.14851600416008637,0.20100178204171193,0.20573317416146905,0.14906047923618113,91,8
Jaqueline Cristian,1.0594281982675025,0.7641570627252372,1.3546993338097677,2598.0,18.0,1327.0,1271.0,721.0,606.0,492.0,779.0,0.1582279301513613,0.20706205290711846,0.19982749905003985,0.1475068999171003,39,9
Karolina Pliskova,1.0583088517623611,0.7577132932773382,1.358904410247384,4126.0,77.0,2157.0,1969.0,1278.0,879.0,780.0,1189.0,0.15466360077518496,0.20411889582432732,0.20196331477102772,0.14862216447900187,84,10
