player,DR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,serve_points,return_points,serve_points_won,return_points_won,matches,wta_rank,dr_rank
Iga Swiatek,1.3249724755017853,0.630694349380181,0.489319822118539,0.369305650619819,26866.0,13149.0,13717.0,8293.0,6712.0,226.0,3,1
Elena Rybakina,1.214503292204995,0.6365973358261277,0.44135373203523415,0.36340266417387235,17186.0,8558.0,8628.0,5448.0,3808.0,130.0,2,2
Taylor Townsend,1.1467815860021333,0.6208053691275168,0.43485342019543977,0.3791946308724832,1210.0,596.0,614.0,370.0,267.0,15.0,78,3
Mirra Andreeva,1.1450873357933185,0.5949834479246244,0.46377932456818766,0.40501655207537557,15612.0,7854.0,7758.0,4673.0,3598.0,113.0,5,4
Coco Gauff,1.1414460616301423,0.6012963521254145,0.45509870862401663,0.39870364787458545,13371.0,6634.0,6737.0,3989.0,3066.0,109.0,7,5
Aryna Sabalenka,1.1236572686886837,0.6099667774086379,0.4382636655948553,0.3900332225913621,6120.0,3010.0,3110.0,1836.0,1363.0,57.0,1,6
Iva Jovic,1.1062474810668423,0.5838881491344874,0.4603226868620349,0.4161118508655126,6041.0,3004.0,3037.0,1754.0,1398.0,44.0,17,7
Karolina Muchova,1.0978178547519895,0.6113134255887351,0.42670706129107433,0.38868657441126486,8410.0,4119.0,4291.0,2518.0,1831.0,70.0,10,8
Belinda Bencic,1.092737564391155,0.6072433192686357,0.4291799787007455,0.39275668073136427,5661.0,2844.0,2817.0,1727.0,1209.0,77.0,11,9
Tereza Valentova,1.0841976887373306,0.5860517435320585,0.44880174291938996,0.41394825646794153,1807.0,889.0,918.0,521.0,412.0,13.0,60,10
Naomi Osaka,1.0700870917921617,0.6143008101444171,0.41273172437915356,0.38569918985558294,5698.0,2839.0,2859.0,1744.0,1180.0,67.0,15,11
Jessica Pegula,1.0661472616812984,0.5878317385809713,0.439432063263839,0.41216826141902874,11103.0,5539.0,5564.0,3256.0,2445.0,81.0,4,12
Elina Svitolina,1.0646696937593816,0.5931058990760484,0.43320781782320245,0.4068941009239516,11205.0,5628.0,5577.0,3338.0,2416.0,147.0,8,13
Marta Kostyuk,1.0620250094499886,0.5815839694656488,0.44436828878227097,0.41841603053435117,8569.0,4192.0,4377.0,2438.0,1945.0,58.0,12,14
Marketa Vondrousova,1.0609166814709539,0.5737704918032787,0.45219399538106236,0.42622950819672134,4300.0,2135.0,2165.0,1225.0,979.0,43.0,47,15
Jasmine Paolini,1.0585945097328213,0.5760259816947151,0.44881656804733727,0.4239740183052849,6767.0,3387.0,3380.0,1951.0,1517.0,51.0,14,16
Liudmila Samsonova,1.05498452337882,0.6080560420315236,0.4134948096885813,0.39194395796847636,5745.0,2855.0,2890.0,1736.0,1195.0,41.0,36,17
Amanda Anisimova,1.0526428196555613,0.5795197100135931,0.4426155580608794,0.42048028998640685,8849.0,4414.0,4435.0,2558.0,1963.0,72.0,6,18
Victoria Mboko,1.0439448283906336,0.58,0.43845682792406615,0.42000000000000004,3283.0,1650.0,1633.0,957.0,716.0,24.0,9,19
Talia Gibson,1.038583602703497,0.6171802054154996,0.39759036144578314,0.38281979458450044,2150.0,1071.0,1079.0,661.0,429.0,16.0,63,20
Emma Raducanu,1.038041390167205,0.5821496212121212,0.4337459880788629,0.4178503787878788,8586.0,4224.0,4362.0,2459.0,1892.0,68.0,31,21
Madison Keys,1.0370581280102937,0.5981827359919233,0.416707859614434,0.4018172640080767,4004.0,1981.0,2023.0,1185.0,843.0,67.0,28,22
Barbora Krejcikova,1.0297821923588795,0.600844772967265,0.4110429447852761,0.399155227032735,3850.0,1894.0,1956.0,1138.0,804.0,28.0,38,23
Anna Bondar,1.0287050083258615,0.5953978906999041,0.41621621621621624,0.4046021093000959,2153.0,1043.0,1110.0,621.0,462.0,18.0,71,24
Elisabetta Cocciaretto,1.027058426506304,0.586890243902439,0.424287856071964,0.41310975609756095,1323.0,656.0,667.0,385.0,283.0,10.0,44,25
Clara Tauson,1.0257701622603543,0.5915641476274165,0.41896131056117114,0.4084358523725835,5714.0,2845.0,2869.0,1683.0,1202.0,41.0,23,26
Leylah Fernandez,1.0252535074315878,0.5892857142857143,0.42108626198083066,0.4107142857142857,6042.0,2912.0,3130.0,1716.0,1318.0,44.0,22,27
Sorana Cirstea,1.0194201001593446,0.5788313120176406,0.42934782608695654,0.4211686879823594,3654.0,1814.0,1840.0,1050.0,790.0,35.0,18,28
Ekaterina Alexandrova,1.0130929207318975,0.5830237210631609,0.4224357163040407,0.4169762789368391,7038.0,3499.0,3539.0,2040.0,1495.0,60.0,19,29
Maria Sakkari,1.0122717179781446,0.5861704935339139,0.4189079054604727,0.4138295064660861,7470.0,3789.0,3681.0,2221.0,1542.0,63.0,40,30
Alexandra Eala,1.0122380902741583,0.5493197278911565,0.4561957379636938,0.45068027210884354,2443.0,1176.0,1267.0,646.0,578.0,20.0,34,31
Camila Osorio,1.0045024623052825,0.5407114624505929,0.4613564668769716,0.4592885375494071,2533.0,1265.0,1268.0,684.0,585.0,19.0,67,32
Anna Kalinskaya,0.9995804237377272,0.5732708089097304,0.42655014565126925,0.42672919109026963,4962.0,2559.0,2403.0,1467.0,1025.0,37.0,20,33
Ashlyn Krueger,0.9951727912048419,0.5791201575837164,0.418848167539267,0.4208798424162836,3051.0,1523.0,1528.0,882.0,640.0,23.0,91,34
Donna Vekic,0.9892158631820596,0.5853350189633375,0.41019317714755443,0.4146649810366625,4806.0,2373.0,2433.0,1389.0,998.0,54.0,32,35
Emma Navarro,0.9805473640643593,0.5600696459663378,0.43137254901960786,0.4399303540336622,3457.0,1723.0,1734.0,965.0,748.0,30.0,25,36
Linda Noskova,0.9767644837616932,0.5928616550852811,0.3976782752902156,0.4071383449147189,6181.0,3166.0,3015.0,1877.0,1199.0,47.0,13,37
Karolina Pliskova,0.9749981935110917,0.5922330097087378,0.3975720789074355,0.4077669902912622,4140.0,2163.0,1977.0,1281.0,786.0,77.0,84,38
Diana Shnaider,0.9740598450774612,0.5707620528771384,0.41810344827586204,0.42923794712286156,3785.0,1929.0,1856.0,1101.0,776.0,27.0,16,39
Jelena Ostapenko,0.9657258538005928,0.5581506196377503,0.42670537010159654,0.44184938036224974,4165.0,2098.0,2067.0,1171.0,882.0,51.0,37,40
Elise Mertens,0.9617633415403752,0.570429104477612,0.4131455399061033,0.42957089552238803,4274.0,2144.0,2130.0,1223.0,880.0,41.0,24,41
Magdalena Frech,0.9600086567094092,0.5664857530529173,0.41617742987606,0.43351424694708274,3007.0,1474.0,1533.0,835.0,638.0,21.0,43,42
Cristina Bucsa,0.9582108626198083,0.5610098176718092,0.4206451612903226,0.43899018232819076,1488.0,713.0,775.0,400.0,326.0,13.0,35,43
