player,DR+,DR,BLR,serve_LR,return_LR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,matches,serve_points,return_points,serve_points_won,return_points_won,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,drplus_rank
Iga Swiatek,1.3616912916246655,1.3249724755017853,1.027712889740577,0.7469581813493207,1.308467598131833,0.630694349380181,0.489319822118539,0.369305650619819,26866.0,226.0,13149.0,13717.0,8293.0,6712.0,0.14472503910644924,0.1937525322301376,0.20770171766924408,0.15873661523280408,3,1
Elena Rybakina,1.2701640647270744,1.214503292204995,1.045830071338073,0.749668708682932,1.3419914339932142,0.6365973358261277,0.44135373203523415,0.36340266417387235,17186.0,130.0,8558.0,8628.0,5448.0,3808.0,0.14661930187823038,0.19557879391260835,0.20437993860042789,0.1522960083227039,2,2
Mirra Andreeva,1.2008601803382433,1.1450873357933185,1.0487061927955785,0.7560188966887516,1.3413934889024055,0.5949834479246244,0.46377932456818766,0.40501655207537557,15612.0,113.0,7854.0,7758.0,4673.0,3598.0,0.15144812176108174,0.20032319618517688,0.20469589747700204,0.1525994416779929,5,3
Coco Gauff,1.1924011781455828,1.1414460616301423,1.0446408448268414,0.7515051457494668,1.337776543904216,0.6012963521254145,0.45509870862401663,0.39870364787458545,13371.0,109.0,6634.0,6737.0,3989.0,3066.0,0.14806161870200546,0.19702009964861308,0.2065308238745001,0.15438364861126433,7,4
Aryna Sabalenka,1.1666169517096479,1.1236572686886837,1.0382320163078715,0.7689751986349144,1.3074888339808288,0.6099667774086379,0.4382636655948553,0.3900332225913621,6120.0,57.0,3010.0,3110.0,1836.0,1363.0,0.14901756986028866,0.19378722502991622,0.20231771961774836,0.15473762709067607,1,5
Taylor Townsend,1.1644953360060315,1.1467815860021333,1.0154464897414783,0.7377894926054122,1.2931034868775446,0.6208053691275168,0.43485342019543977,0.3791946308724832,1210.0,15.0,596.0,614.0,370.0,267.0,0.1509202841264792,0.2045573780042908,0.20365619800770773,0.15749412175778452,78,6
Iva Jovic,1.1529088716571325,1.1062474810668423,1.042179884147886,0.7563941352743841,1.3279656330213878,0.5838881491344874,0.4603226868620349,0.4161118508655126,6041.0,44.0,3004.0,3037.0,1754.0,1398.0,0.15108647412672213,0.19974569748867113,0.20548733189597393,0.15473844110592613,17,7
Belinda Bencic,1.1429960201111133,1.092737564391155,1.0459931619061353,0.7582559842730178,1.333730339539253,0.6072433192686357,0.4291799787007455,0.39275668073136427,5661.0,77.0,2844.0,2817.0,1727.0,1209.0,0.1508741926450356,0.19897527454357922,0.1988779062888422,0.14911403032006157,11,8
Marketa Vondrousova,1.1267862923183587,1.0609166814709539,1.0620874494650014,0.7618397690137525,1.3623351299162503,0.5737704918032787,0.45219399538106236,0.42622950819672134,4300.0,43.0,2135.0,2165.0,1225.0,979.0,0.15123001316472748,0.19850632549742558,0.2070477004622645,0.15198000544476364,47,9
Karolina Muchova,1.1248375405553974,1.0978178547519895,1.0246121755867343,0.7360164104091651,1.3132079407643034,0.6113134255887351,0.42670706129107433,0.38868657441126486,8410.0,70.0,4119.0,4291.0,2518.0,1831.0,0.14795039949217584,0.2010150825440529,0.2006237902636897,0.15277381748615088,10,10
Jessica Pegula,1.1127177715996763,1.0661472616812984,1.043681123229578,0.754090234023024,1.3332720124361317,0.5878317385809713,0.439432063263839,0.41216826141902874,11103.0,81.0,5539.0,5564.0,3256.0,2445.0,0.15225591684719303,0.20190676125709425,0.2043228477204077,0.1532491838233914,4,11
Victoria Mboko,1.1106498718903124,1.0439448283906336,1.063897096556829,0.7592337383737223,1.368560454739936,0.58,0.43845682792406615,0.42000000000000004,3283.0,24.0,1650.0,1633.0,957.0,716.0,0.15232260800443886,0.20062676394059317,0.20267483131400074,0.14809344418220424,9,12
Liudmila Samsonova,1.109052026824274,1.05498452337882,1.05124957025179,0.7555737025174392,1.3469254379861408,0.6080560420315236,0.4134948096885813,0.39194395796847636,5745.0,41.0,2855.0,2890.0,1736.0,1195.0,0.14856268559504343,0.19662236139248707,0.20080620710346944,0.14908487243637286,36,13
