player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank,edge_rank
Aryna Sabalenka,0.03214790085160775,0.06353307528068662,-0.03138517442907887,6120.0,46.0,0.9978758169934641,0.5519607843137255,0.004850262091430486,-0.004624190377382112,0.012672410260169667,-0.0029421214058012206,0.0036791560283327457,0.024223602041992726,0.018107644858761,-0.02381886264589554,207.0,145.0,524.0,121.0,118.0,859.0,614.0,790.0,1,1
Belinda Bencic,0.030803368807034992,0.05874364257929498,-0.02794027377225999,5661.0,42.0,0.9991167638226461,0.5037979155626214,0.0034450222976082833,-0.005412845399806089,0.0138306272490814,-0.0021554965849962036,0.003808929282653232,0.0200599441759824,0.017599119573969667,-0.0203719317874577,136.0,157.0,529.0,82.0,113.0,658.0,552.0,625.0,11,2
Elena Rybakina,0.028929403730981,0.062151620973322504,-0.0332222172423415,17186.0,127.0,0.9974979634586291,0.5572559059699755,0.0077014620066521025,-0.0036000089486375813,0.012220442941550402,-0.0026408982787587813,0.002675838241073505,0.021248967745197647,0.018304910038848852,-0.026981310014945137,923.0,317.0,1419.0,305.0,241.0,2116.0,1743.0,2513.0,2,3
Talia Gibson,0.02760963211753767,0.06351016515175753,-0.03590053303421986,2150.0,16.0,0.9995348837209302,0.5762790697674418,0.006269539997658982,-0.004538900578921977,0.011083240970664281,-0.002353244751563014,0.003550088276451936,0.02648942073476921,0.016117875172213112,-0.029008387703734873,94.0,50.0,161.0,34.0,40.0,330.0,192.0,338.0,58,4
Sorana Cirstea,0.026283511984470063,0.05571966869018931,-0.029436156705719245,3654.0,27.0,0.9980842911877394,0.4939792008757526,0.003571240786960311,-0.0024570184305166038,0.012273076608531185,-0.0016289887684279854,0.0022455231332647882,0.019600923562884863,0.018028904598548164,-0.025350149506774652,91.0,46.0,303.0,40.0,43.0,415.0,365.0,502.0,18,5
Alexandra Eala,0.024861274898367834,0.052455805436384506,-0.027594530538016675,2443.0,20.0,0.9922226770364306,0.45804338927548094,0.0008217710781544114,-0.004314092158926251,0.009632810503890147,-0.002131921547219147,0.0033586334543387374,0.017660928124807365,0.020981662275193845,-0.021148516831871272,14.0,54.0,159.0,35.0,43.0,250.0,284.0,280.0,37,6
Leylah Fernandez,0.024310588393788777,0.05580844057760865,-0.031497852183819876,6042.0,44.0,0.9975173783515392,0.5026481297583582,0.002753109924528566,-0.0049746109953031,0.010337394483628781,-0.001847171350495239,0.0019580716950142463,0.023165256569759325,0.017594607904677734,-0.024676069838021533,116.0,154.0,422.0,75.0,62.0,811.0,589.0,808.0,22,7
Iga Swiatek,0.02414354770719103,0.05841091818329781,-0.03426737047610678,26866.0,218.0,0.9937467430953622,0.5353606789250354,0.00290897357106305,-0.0032182504700321874,0.010836292246587451,-0.003528280167698431,0.003231662562755068,0.02367823365580609,0.017755756147086153,-0.027520839838376162,545.0,443.0,1967.0,637.0,455.0,3686.0,2643.0,4007.0,3,8
Qinwen Zheng,0.024013790315714,0.05835329117837286,-0.03433950086265886,6655.0,48.0,0.9986476333583771,0.5382419233658903,0.0066797455255842055,-0.006334681980019132,0.011586947070375884,-0.0021913142226292794,0.002408512181544777,0.019371779783291708,0.018306306617576287,-0.02581350466001045,310.0,216.0,521.0,98.0,84.0,747.0,675.0,931.0,56,9
Sofia Kenin,0.02384994896112812,0.05601664473166093,-0.03216669577053281,7139.0,51.0,0.9956576551337722,0.5079142737078022,0.0018078042838513841,-0.004702298456605539,0.012480686343086812,-0.0018759953998642221,0.0031540040472610173,0.021104440503136875,0.01746970955432484,-0.025588401914063048,90.0,172.0,602.0,90.0,118.0,873.0,691.0,990.0,87,10
Jelena Ostapenko,0.02369892126478787,0.06291732147486054,-0.03921840021007266,4165.0,31.0,0.9987995198079231,0.5882352941176471,0.003580672635377253,-0.006607287925571176,0.011584624303890888,-0.0038586500339872314,0.0049479621716214854,0.024820401246514988,0.017983661117455915,-0.028752462250514258,104.0,141.0,326.0,108.0,108.0,599.0,415.0,649.0,31,11
Magda Linette,0.023267591394880088,0.052905163333200694,-0.029637571938320603,8020.0,58.0,0.9975062344139651,0.478428927680798,0.003522395694286175,-0.0025309181282966433,0.0114787705813644,-0.0016142527166637147,0.0016416945006597402,0.019001300080829214,0.017261002476061167,-0.025492401093360244,197.0,104.0,622.0,87.0,69.0,883.0,767.0,1108.0,73,12
