player,Elo,Elo_matches,Elo_wins,Elo_losses,FIRST_ELO_MATCH_DATE,LAST_ELO_MATCH_DATE,Elo_rank
Steffi Graf,2201.567307006429,1003,893,110,1981-12-09,1999-08-02,1
Margaret Court,2200.4047533809157,693,629,64,1968-01-02,1977-02-22,2
Chris Evert,2156.901501309597,1479,1330,149,1969-01-20,1989-10-01,3
Justine Henin,2152.530312324362,563,459,104,1999-04-17,2011-01-17,4
Aryna Sabalenka,2090.8376559371727,550,405,145,2017-02-11,2026-05-05,5
Lindsay Davenport,2072.833841944323,919,733,186,1991-08-19,2008-08-25,6
Ashleigh Barty,2039.6084065410757,280,206,74,2012-01-09,2022-01-17,7
Elena Rybakina,2024.1344590301185,426,307,119,2017-10-16,2026-05-05,8
Manuela Maleeva Fragniere,1986.95657801508,680,489,191,1982-04-26,1994-02-08,9
Olga Morozova,1986.47371748411,463,345,118,1968-01-01,1980-07-14,10
Na Li,1986.1706490136653,525,362,163,1999-02-23,2014-06-23,11
Monica Seles,1985.0279715560096,719,597,122,1988-03-07,2003-05-26,12
Jennifer Capriati,1977.494698389433,592,420,172,1989-09-14,2004-11-01,13
Greer Stevens,1973.0149992855495,236,146,90,1973-07-09,1980-12-01,14
Martina Navratilova,1968.0481352792938,1718,1484,234,1972-03-06,2005-06-13,15
Evonne Goolagong,1954.6985631868608,962,788,174,1968-01-19,1985-05-06,16
Jessica Pegula,1954.1327475900885,426,289,137,2012-03-05,2026-05-05,17
Iga Swiatek,1953.176901661932,435,347,88,2018-02-10,2026-05-05,18
Billie Jean King,1952.5035804393244,905,733,172,1968-01-02,1984-07-25,19
Kerry Reid,1950.4828960333166,841,604,237,1968-01-08,1985-04-08,20
Coco Gauff,1947.893925604287,380,270,110,2019-03-18,2026-05-05,21
Kim Clijsters,1944.73503813579,611,485,126,1999-05-10,2021-10-06,22
Jana Novotna,1936.1146505998597,737,529,208,1986-03-31,1999-10-04,23
Elina Svitolina,1936.0702116801415,684,451,233,2012-04-21,2026-05-05,24
Elena Dementieva,1934.6662213341162,745,500,245,1997-10-27,2010-10-25,25
Gabriela Sabatini,1934.268642294059,814,627,187,1984-07-09,1996-10-14,26
Mary Pierce,1924.920262345195,708,480,228,1989-04-03,2006-10-23,27
Ann Jones,1916.9429497158271,343,270,73,1968-03-04,1983-05-30,28
Andrea Jaeger,1912.3554242906507,387,286,101,1979-07-16,1987-04-20,29
Karolina Muchova,1910.0332324345168,253,169,84,2017-09-18,2026-05-05,30
Julie Heldman,1908.7193165950764,570,397,173,1968-03-04,1975-08-27,31
Bonnie Gadusek,1905.764108674042,284,191,93,1980-05-11,1987-09-01,32
Serena Williams,1905.2988436615765,1003,849,154,1997-10-27,2022-08-29,33
Nancy Richey,1893.361643702754,432,328,104,1968-03-04,1978-08-28,34
Amanda Anisimova,1887.9069904438516,265,167,98,2017-03-20,2026-03-17,35
Tracy Austin,1880.429671596395,473,378,95,1973-08-30,1994-06-13,36
Mirra Andreeva,1876.7916308696524,167,117,50,2022-10-03,2026-05-05,37
Kazuko Sawamatsu,1874.1519712675374,317,209,108,1968-01-01,1975-11-24,38
Bettina Bunge,1873.8287441453226,511,318,193,1978-08-28,1989-11-06,39
Marta Kostyuk,1864.5247285385985,266,152,114,2018-01-15,2026-04-21,40
Simona Halep,1863.4385507590257,666,467,199,2010-02-04,2025-02-03,41
Martina Hingis,1859.8295237909595,667,534,133,1994-10-03,2015-04-18,42
Mary Joe Fernandez,1858.6512567355437,630,430,200,1984-09-17,2000-10-14,43
