player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank
Aryna Sabalenka,0.03214790085160775,0.06353307528068662,-0.03138517442907887,6120.0,46.0,0.9978758169934641,0.5519607843137255,0.004850262091430486,-0.004624190377382112,0.012672410260169667,-0.0029421214058012206,0.0036791560283327457,0.024223602041992726,0.018107644858761,-0.02381886264589554,207.0,145.0,524.0,121.0,118.0,859.0,614.0,790.0,1
Elena Rybakina,0.028929403730981,0.062151620973322504,-0.0332222172423415,17186.0,127.0,0.9974979634586291,0.5572559059699755,0.0077014620066521025,-0.0036000089486375813,0.012220442941550402,-0.0026408982787587813,0.002675838241073505,0.021248967745197647,0.018304910038848852,-0.026981310014945137,923.0,317.0,1419.0,305.0,241.0,2116.0,1743.0,2513.0,2
Iga Swiatek,0.02414354770719103,0.05841091818329781,-0.03426737047610678,26866.0,218.0,0.9937467430953622,0.5353606789250354,0.00290897357106305,-0.0032182504700321874,0.010836292246587451,-0.003528280167698431,0.003231662562755068,0.02367823365580609,0.017755756147086153,-0.027520839838376162,545.0,443.0,1967.0,637.0,455.0,3686.0,2643.0,4007.0,3
Coco Gauff,0.01761743079897863,0.05221382813222298,-0.03459639733324435,13371.0,104.0,0.9982798593972029,0.5021314785730312,0.004751011931800878,-0.007415133067532097,0.011655847105623228,-0.0018029254421759947,0.0013557428959414177,0.018199196124913677,0.01625203007394379,-0.025378338823536257,443.0,508.0,1053.0,162.0,95.0,1410.0,1204.0,1839.0,4
Jessica Pegula,0.023128378391434293,0.05124911326307074,-0.02812073487163644,11103.0,78.0,0.9989192110240476,0.46032603800774563,0.0032288357456981176,-0.0031289511871628217,0.011077456252513778,-0.002506270304172984,0.0024404259002088987,0.016865001328888143,0.017637394035761794,-0.022485513380300637,250.0,178.0,831.0,187.0,142.0,1085.0,1085.0,1353.0,5
Amanda Anisimova,0.020859517819023673,0.06093657404614723,-0.040077056227123556,8849.0,63.0,0.984292010396655,0.5822126793988022,0.003224817671426264,-0.005580144581093026,0.011808367629265975,-0.004574054664581742,0.005218417138201894,0.02238951439729788,0.018295457209955217,-0.029922856981448788,199.0,253.0,706.0,272.0,242.0,1148.0,897.0,1435.0,6
Elina Svitolina,0.018314946858412142,0.04957845141513172,-0.031263504556719585,11205.0,79.0,0.9983935742971888,0.4686300758589915,0.003826534305064301,-0.0040062228224487595,0.010540722743766622,-0.0024568945059563452,0.0016348465423018286,0.01846733823945609,0.015109009584542882,-0.02480038722831448,299.0,230.0,798.0,185.0,96.0,1199.0,938.0,1506.0,7
Mirra Andreeva,0.013815882765418123,0.049023424626500875,-0.035207541861082756,15612.0,113.0,0.9992313604919293,0.4865488086087625,0.0036097763184225152,-0.004850564774451336,0.009366509147241835,-0.0033265459437975833,0.00228560240767919,0.021114062657188674,0.012647474095968666,-0.027030431142833832,393.0,388.0,988.0,349.0,187.0,1910.0,1094.0,2287.0,8
Victoria Mboko,0.01454058637898759,0.05251721780639383,-0.037976631427406246,3283.0,24.0,0.998172403289674,0.5229972586049345,0.004761040752980805,-0.00844182970907633,0.012713279212721572,-0.001994382411154263,0.002034298985706733,0.017505331205805864,0.015503267649178865,-0.027540419307175653,109.0,142.0,282.0,44.0,35.0,333.0,282.0,490.0,9
Karolina Muchova,0.021716487941794628,0.054405615120119884,-0.032689127178325256,8410.0,60.0,0.9979785969084424,0.5055885850178359,0.003802376795453233,-0.0028080736875304457,0.011087251862811034,-0.003025706207288739,0.00167901024014121,0.02152665119236181,0.016310325029352594,-0.02685534728350607,223.0,121.0,630.0,171.0,74.0,1049.0,760.0,1224.0,10
Belinda Bencic,0.030803368807034992,0.05874364257929498,-0.02794027377225999,5661.0,42.0,0.9991167638226461,0.5037979155626214,0.0034450222976082833,-0.005412845399806089,0.0138306272490814,-0.0021554965849962036,0.003808929282653232,0.0200599441759824,0.017599119573969667,-0.0203719317874577,136.0,157.0,529.0,82.0,113.0,658.0,552.0,625.0,11
Linda Noskova,0.022025533115975167,0.058395531867777434,-0.03636999875180227,6181.0,47.0,0.9954699886749717,0.550719948228442,0.005150394725226297,-0.006378400004613541,0.012882581293271378,-0.003153836635408904,0.0030254149807815195,0.022532624144304056,0.014804516724194186,-0.026837762111779826,222.0,202.0,538.0,131.0,98.0,807.0,507.0,899.0,12
Jasmine Paolini,0.02006561089702395,0.05166889982903448,-0.031603288932010525,6767.0,49.0,0.9951233929363086,0.47982857987291266,0.001335028867694772,-0.002336188963556265,0.010957737918443294,-0.0024629096922625096,0.0020866670784080946,0.02032633721583969,0.016963128748648623,-0.02680419027619175,63.0,81.0,501.0,112.0,74.0,797.0,636.0,983.0,13
Ekaterina Alexandrova,0.019733403202692706,0.05566717394526527,-0.03593377074257256,7038.0,47.0,0.9975845410628019,0.5301221938050582,0.005378992615575082,-0.0069605504331209005,0.010683014291679706,-0.003594399130335663,0.003985526427154854,0.01905323559915812,0.0165664050116975,-0.025378821179115996,264.0,251.0,508.0,170.0,147.0,777.0,646.0,968.0,14
Marta Kostyuk,0.01411782302345425,0.05078708912913739,-0.036669266105683135,8569.0,57.0,0.9980161045629595,0.504142840471467,0.003279987678263179,-0.006969641010322719,0.009914278380248888,-0.003837856856470197,0.003162101618627541,0.020845253853759384,0.013585467598238398,-0.02586176823889022,196.0,306.0,574.0,221.0,142.0,1035.0,645.0,1201.0,15
Naomi Osaka,0.017179759816104794,0.05593820557707049,-0.0387584457609657,5698.0,41.0,0.9975429975429976,0.5512460512460512,0.007046636517835126,-0.003802066069356721,0.010078331524985494,-0.004256883855972469,0.0024111691172111253,0.020596026843141445,0.015806041573897305,-0.03069949583563651,280.0,111.0,388.0,163.0,72.0,680.0,499.0,948.0,16
Iva Jovic,0.01619697688012957,0.05030889752004983,-0.03411192063992026,6041.0,44.0,0.9988412514484357,0.4875020691938421,0.0028010409320108403,-0.00271387334730445,0.010584108193959272,-0.002808165226871743,0.002053156913731824,0.018826672168493954,0.016043919311853932,-0.02858988206574407,118.0,84.0,432.0,114.0,65.0,659.0,537.0,936.0,17
Sorana Cirstea,0.026283511984470063,0.05571966869018931,-0.029436156705719245,3654.0,27.0,0.9980842911877394,0.4939792008757526,0.003571240786960311,-0.0024570184305166038,0.012273076608531185,-0.0016289887684279854,0.0022455231332647882,0.019600923562884863,0.018028904598548164,-0.025350149506774652,91.0,46.0,303.0,40.0,43.0,415.0,365.0,502.0,18
Madison Keys,0.020353090545969045,0.057772100427924154,-0.03741900988195511,4004.0,32.0,0.9982517482517482,0.5521978021978022,0.0056227900456187144,-0.004143277126863094,0.011052397071859092,-0.0038279812116826513,0.004050815637622323,0.02081852916933149,0.01622756850349253,-0.029447751543409367,157.0,85.0,299.0,103.0,85.0,483.0,360.0,639.0,19
Clara Tauson,0.02038802537537413,0.0536917020829445,-0.03330367670757037,5714.0,41.0,0.9982499124956248,0.5073503675183759,0.006424598810520453,-0.0044745584461091175,0.01098259529156627,-0.0029949132410794703,0.0029053378198737076,0.020175913524079898,0.01320325663690417,-0.02583420502038178,256.0,131.0,424.0,115.0,87.0,668.0,418.0,800.0,20
Elise Mertens,0.014142586898144646,0.04815587918785105,-0.034013292289706405,4274.0,33.0,0.99859616284511,0.4770706598034628,0.004261038780654888,-0.006941098311613019,0.011046775417634427,-0.0035861574102895033,0.0016519040851178726,0.01683831068742455,0.014357850217019312,-0.023486036567803886,127.0,152.0,319.0,103.0,37.0,417.0,340.0,544.0,21
Leylah Fernandez,0.024310588393788777,0.05580844057760865,-0.031497852183819876,6042.0,44.0,0.9975173783515392,0.5026481297583582,0.002753109924528566,-0.0049746109953031,0.010337394483628781,-0.001847171350495239,0.0019580716950142463,0.023165256569759325,0.017594607904677734,-0.024676069838021533,116.0,154.0,422.0,75.0,62.0,811.0,589.0,808.0,22
Diana Shnaider,0.01626202827359142,0.05086732738271711,-0.03460529910912569,3785.0,27.0,0.9992073976221929,0.492998678996037,0.002652030044823286,-0.004125183088901347,0.010948925661675124,-0.002594804804155658,0.0014115938853527512,0.018831336729064747,0.017023441061801207,-0.02788531121606868,70.0,80.0,280.0,66.0,28.0,413.0,357.0,572.0,23
Anna Kalinskaya,0.021302741810535798,0.053221337501468104,-0.031918595690932305,4962.0,36.0,0.9985892785167271,0.49274486094316805,0.002080760142267639,-0.004248015777612588,0.012617199412141756,-0.0023091949914719927,0.0016535956325976493,0.020938073148053564,0.015931709166407494,-0.025361384921847724,72.0,108.0,423.0,77.0,43.0,602.0,438.0,682.0,24
Emma Navarro,0.015685591487019514,0.04686544450194145,-0.031179853014921943,3457.0,29.0,0.9936361006653167,0.4486549030951692,0.0017421927196394796,-0.003274520695351869,0.009504580525781807,-0.002711863410975261,0.002207894068374794,0.016025169590116645,0.01738560759802872,-0.025193468908594814,42.0,58.0,222.0,63.0,40.0,321.0,333.0,472.0,25
Hailey Baptiste,0.012473831447447684,0.05182368011978615,-0.03934984867233847,877.0,7.0,0.992018244013683,0.5290763968072976,0.004578305003263916,-0.005563646661734464,0.010632130919753794,-0.00475100053806739,0.0010878976331772608,0.0196787445422597,0.015846602021331483,-0.02903520147253661,28.0,25.0,63.0,28.0,5.0,100.0,77.0,138.0,26
